Init_active,Max_size,Replicate,Final_size,Pos_effects
1,20,1,7,11
5,20,1,9,11
10,20,1,15,11
15,20,1,18,11
20,20,1,16,11
1,20,2,6,5
5,20,2,9,5
10,20,2,12,5
15,20,2,16,5
20,20,2,16,5
1,20,3,10,8
5,20,3,11,8
10,20,3,12,8
15,20,3,17,8
20,20,3,18,8
1,20,4,15,13
5,20,4,17,13
10,20,4,18,13
15,20,4,16,13
20,20,4,19,13
1,20,5,11,11
5,20,5,14,11
10,20,5,15,11
15,20,5,12,11
20,20,5,18,11
1,20,6,11,10
5,20,6,14,10
10,20,6,12,10
15,20,6,16,10
20,20,6,17,10
1,20,7,8,8
5,20,7,12,8
10,20,7,12,8
15,20,7,14,8
20,20,7,15,8
1,20,8,16,13
5,20,8,15,13
10,20,8,17,13
15,20,8,19,13
20,20,8,18,13
1,20,9,10,10
5,20,9,13,10
10,20,9,13,10
15,20,9,16,10
20,20,9,17,10
1,20,10,11,11
5,20,10,13,11
10,20,10,15,11
15,20,10,19,11
20,20,10,19,11
1,20,11,11,6
5,20,11,14,6
10,20,11,14,6
15,20,11,13,6
20,20,11,16,6
1,20,12,12,6
5,20,12,12,6
10,20,12,12,6
15,20,12,14,6
20,20,12,17,6
1,20,13,13,11
5,20,13,14,11
10,20,13,14,11
15,20,13,18,11
20,20,13,18,11
1,20,14,13,11
5,20,14,11,11
10,20,14,15,11
15,20,14,16,11
20,20,14,17,11
1,20,15,14,11
5,20,15,12,11
10,20,15,12,11
15,20,15,13,11
20,20,15,16,11
1,20,16,10,9
5,20,16,12,9
10,20,16,10,9
15,20,16,15,9
20,20,16,18,9
1,20,17,12,8
5,20,17,12,8
10,20,17,14,8
15,20,17,14,8
20,20,17,15,8
1,20,18,9,10
5,20,18,15,10
10,20,18,14,10
15,20,18,15,10
20,20,18,15,10
1,20,19,10,9
5,20,19,13,9
10,20,19,18,9
15,20,19,14,9
20,20,19,19,9
1,20,20,13,9
5,20,20,8,9
10,20,20,12,9
15,20,20,13,9
20,20,20,19,9
1,20,21,11,9
5,20,21,13,9
10,20,21,13,9
15,20,21,14,9
20,20,21,16,9
1,20,22,10,6
5,20,22,8,6
10,20,22,13,6
15,20,22,16,6
20,20,22,16,6
1,20,23,15,12
5,20,23,14,12
10,20,23,15,12
15,20,23,16,12
20,20,23,17,12
1,20,24,11,12
5,20,24,16,12
10,20,24,13,12
15,20,24,18,12
20,20,24,19,12
1,20,25,13,14
5,20,25,14,14
10,20,25,17,14
15,20,25,20,14
20,20,25,18,14
1,20,26,7,4
5,20,26,9,4
10,20,26,11,4
15,20,26,15,4
20,20,26,15,4
1,20,27,12,11
5,20,27,11,11
10,20,27,14,11
15,20,27,19,11
20,20,27,17,11
1,20,28,8,8
5,20,28,12,8
10,20,28,12,8
15,20,28,16,8
20,20,28,20,8
1,20,29,12,11
5,20,29,9,11
10,20,29,12,11
15,20,29,16,11
20,20,29,17,11
1,20,30,10,10
5,20,30,11,10
10,20,30,14,10
15,20,30,15,10
20,20,30,17,10
1,20,31,10,7
5,20,31,13,7
10,20,31,10,7
15,20,31,13,7
20,20,31,16,7
1,20,32,13,11
5,20,32,13,11
10,20,32,15,11
15,20,32,14,11
20,20,32,19,11
1,20,33,12,10
5,20,33,12,10
10,20,33,17,10
15,20,33,18,10
20,20,33,17,10
1,20,34,15,13
5,20,34,14,13
10,20,34,16,13
15,20,34,17,13
20,20,34,17,13
1,20,35,13,11
5,20,35,13,11
10,20,35,16,11
15,20,35,16,11
20,20,35,19,11
1,20,36,12,12
5,20,36,15,12
10,20,36,13,12
15,20,36,18,12
20,20,36,18,12
