Loci,Replicate,Final_fitness,Generation
1,1,0.8096961528976764,50000
25,1,10.714559162651355,50000
50,1,24.430179716047817,50000
75,1,20.59081038292409,50000
100,1,19.295500836413016,50000
1,2,0.8096961528976764,50000
25,2,16.13010507705061,50000
50,2,31.57026210231574,50000
75,2,19.488993307807004,50000
100,2,24.738882182326567,50000
1,3,0.8096961528976764,50000
25,3,13.777081395719275,50000
50,3,23.0184547456082,50000
75,3,28.54440263178028,50000
100,3,41.574177428659006,50000
1,4,0.8096961528976764,50000
25,4,14.638210141010275,50000
50,4,47.82269863518536,50000
75,4,29.10246079064607,50000
100,4,101.66922491171255,50000
1,5,0.8096961528976764,50000
25,5,15.791349185045513,50000
50,5,30.73056820102367,50000
75,5,23.41337979853949,50000
100,5,22.402602578085247,50000
1,6,0.8096961528976764,50000
25,6,10.89147236247267,50000
50,6,16.574407985154274,50000
75,6,11.799527144253496,50000
100,6,41.34922327248813,50000
1,7,0.8096961528976764,50000
25,7,20.201066102550502,50000
50,7,13.459544700422379,50000
75,7,40.21718472461039,50000
100,7,52.6071693165503,50000
1,8,0.8096961528976764,50000
25,8,21.7166160970195,50000
50,8,19.73084843224893,50000
75,8,27.020060849278657,50000
100,8,45.233802303391464,50000
1,9,0.8096961528976764,50000
25,9,13.277134640927377,50000
50,9,24.67867735581877,50000
75,9,21.126920500978525,50000
100,9,23.17097447208309,50000
1,10,0.8096961528976764,50000
25,10,7.191539500189016,50000
50,10,21.39107467136916,50000
75,10,26.5199465298227,50000
100,10,23.04889080878717,50000
1,11,0.8096961528976764,50000
25,11,21.541783468979258,50000
50,11,52.11038445284167,50000
75,11,29.254145408115455,50000
100,11,25.56681182837741,50000
1,12,0.8096961528976764,50000
25,12,21.92142766057238,50000
50,12,26.88246264771065,50000
75,12,16.712397507209026,50000
100,12,27.106611970926366,50000
1,13,0.8096961528976764,50000
25,13,19.009066945521813,50000
50,13,20.148829840993557,50000
75,13,33.52434117560858,50000
100,13,20.083098110528297,50000
1,14,0.8096961528976764,50000
25,14,30.07616012485344,50000
50,14,15.618892949510883,50000
75,14,36.40353239306451,50000
100,14,24.200278554799528,50000
1,15,0.8096961528976764,50000
25,15,23.669540337021395,50000
50,15,29.640905751210685,50000
75,15,16.680777286221797,50000
100,15,17.866194578900203,50000
1,16,0.8096961528976764,50000
25,16,7.659873087390368,50000
50,16,17.904703876392976,50000
75,16,25.7979011650794,50000
100,16,15.725237650960521,50000
1,17,0.8096961528976764,50000
25,17,14.085833872065178,50000
50,17,22.81282930532392,50000
75,17,36.0376017289978,50000
100,17,58.494895165916816,50000
1,18,0.8096961528976764,50000
25,18,17.973824336878163,50000
50,18,22.76308445977606,50000
75,18,40.96426491089526,50000
100,18,30.85659428594165,50000
1,19,0.8096961528976764,50000
25,19,28.920083810872384,50000
50,19,63.78495806844029,50000
75,19,49.23991990358364,50000
100,19,27.582127086757026,50000
1,20,0.8096961528976764,50000
25,20,12.430003583105478,50000
50,20,69.68520662878906,50000
75,20,24.289347533048996,50000
100,20,27.565087145045524,50000
1,21,0.8096961528976764,50000
25,21,18.311067484858615,50000
50,21,31.502485566172407,50000
75,21,66.74995156900776,50000
100,21,35.922521288312915,50000
1,22,0.8096961528976764,50000
25,22,12.03442391990123,50000
50,22,22.819032486731146,50000
75,22,20.658995578323843,50000
100,22,15.277752374729161,50000
1,23,0.8096961528976764,50000
25,23,11.192946529221992,50000
50,23,12.421124842682916,50000
75,23,17.245298471609136,50000
100,23,65.33988289729609,50000
1,24,0.8096961528976764,50000
25,24,28.095488728990656,50000
50,24,20.084267908884307,50000
75,24,38.4266169856798,50000
100,24,23.143115551145698,50000
1,25,0.8096961528976764,50000
25,25,15.000823956093955,50000
50,25,25.387716091886876,50000
75,25,18.13374616247255,50000
100,25,34.877420348030014,50000
1,26,0.8096961528976764,50000
25,26,15.653254613974871,50000
50,26,15.595510212451005,50000
75,26,32.174590130299016,50000
100,26,29.0164376849634,50000
1,27,0.8096961528976764,50000
25,27,8.697120232423744,50000
50,27,22.466619879954113,50000
75,27,31.160734738266978,50000
100,27,36.65836817324169,50000
1,28,0.8096961528976764,50000
25,28,15.788748837168534,50000
50,28,41.176595838963955,50000
75,28,25.094184588971004,50000
100,28,20.840874888269543,50000
1,29,0.8096961528976764,50000
25,29,16.870084269171283,50000
50,29,25.67004723508733,50000
75,29,18.768724404825527,50000
100,29,35.744560976696846,50000
1,30,0.8096961528976764,50000
