Loci,Replicate,Final_fitness,Final_genome_size
1,1,16.213134103060504,5.0
5,1,19.277219807450617,6.0
10,1,15.068932177239942,9.001
15,1,23.181542345615522,13.0
20,1,41.38268570152288,20.0
1,2,15.884026368878112,4.0
5,2,18.474809949031084,4.0
10,2,19.04479503020455,11.0
15,2,26.321636996448614,14.0
20,2,19.47274281511818,16.0
1,3,15.839900533014585,5.0
5,3,14.530992896827865,5.0
10,3,24.832934998597672,8.999
15,3,18.284978252887193,15.999
20,3,16.41734458817259,16.0
1,4,8.77759492133701,2.997
5,4,36.191703775576116,7.0
10,4,8.41583499338434,10.0
15,4,15.92240763786394,12.0
20,4,10.245646664235744,19.0
1,5,19.027053646657738,6.0
5,5,14.845990833359199,6.0
10,5,21.30446358771742,9.0
15,5,15.431532696395418,13.0
20,5,22.801332121447132,17.999
1,6,32.09932610311272,3.0
5,6,14.037476767559252,6.0
10,6,11.481960307122947,11.0
15,6,23.740561660064518,14.0
20,6,12.663777613850847,19.999
1,7,28.11908764585722,5.0
5,7,11.946447198811162,6.0
10,7,13.596833724794141,12.001
15,7,26.155789771103393,15.0
20,7,38.25385754840934,19.0
1,8,10.795771588373093,2.0
5,8,9.92433395021164,8.999
10,8,15.291998713050221,12.0
15,8,20.82810196007011,14.001
20,8,11.814825092838582,19.0
1,9,16.213134103060504,5.0
5,9,18.940586894260722,5.999
10,9,17.056441437971404,11.0
15,9,14.293622181247889,15.0
20,9,41.6487838557015,19.0
1,10,18.6899200322412,6.0
5,10,9.521858890647703,8.0
10,10,16.888746739043153,10.0
15,10,8.98965199978307,12.999
20,10,14.283769534618841,18.999
1,11,13.126288264052313,2.001
5,11,20.567094094142597,4.999
10,11,13.910471241041705,12.0
15,11,10.929408542105438,12.999
20,11,18.379679639504207,16.0
1,12,10.651605349608001,4.999
5,12,14.626805151248679,6.001
10,12,11.245589009070912,10.0
15,12,20.907752926946785,14.0
20,12,16.45078159971712,18.0
1,13,12.494808034264222,2.0
5,13,22.051901571172728,4.0
10,13,15.457807713271025,11.0
15,13,32.85865424005331,14.0
20,13,10.703690019089546,20.0
1,14,12.494808034264222,2.0
5,14,22.320844266675007,8.0
10,14,10.157595637429717,8.999
15,14,17.943186836372497,15.0
20,14,20.5281349906806,18.0
1,15,13.994492190259708,4.0
5,15,18.94973893145286,6.0
10,15,32.26594137841205,10.0
15,15,29.864656162664787,12.0
20,15,24.230408129690865,18.0
1,16,12.494808034264222,2.0
5,16,23.157567604643106,8.001
10,16,20.367759420783305,10.0
15,16,15.110337328828445,13.999
20,16,28.848469246200487,18.0
1,17,32.09932610311272,3.0
5,17,15.40407973779516,7.0
10,17,35.07045274339412,11.0
15,17,33.19865181844235,15.0
20,17,18.40746711223867,18.0
1,18,31.60141593186773,4.0
5,18,12.920138650610136,3.0
10,18,26.887914033273432,11.0
15,18,16.092461388094193,16.0
20,18,15.734754285846117,18.0
1,19,17.903595439038824,4.0
5,19,13.993309945104192,6.0
10,19,21.237842733631293,9.0
15,19,27.094156914784246,13.0
20,19,21.416761415830283,17.0
1,20,32.09932610311272,3.0
5,20,18.518388596946476,6.0
10,20,20.041042794103074,12.0
15,20,16.055900906982004,16.0
20,20,16.524807711641056,17.0
1,21,32.09932610311272,3.0
5,21,20.896212851117614,6.0
10,21,17.733367202473104,10.0
15,21,11.365115930411918,15.0
20,21,14.283769534618841,19.0
1,22,24.29249553977974,6.0
5,22,16.154994274614715,7.0
10,22,12.623202535692942,9.0
15,22,33.827753740410486,13.0
20,22,10.404877300488943,18.0
1,23,21.936869122039866,4.0
5,23,31.28510269752122,6.0
10,23,10.692804710818177,9.0
15,23,9.649949537573248,16.0
20,23,27.437287319496406,18.0
1,24,18.979366480643087,5.0
5,24,21.56868258899606,8.001
10,24,16.300128923478766,9.0
15,24,20.178974854009248,15.0
20,24,51.12580301287284,19.0
1,25,12.494808034264222,2.0
5,25,12.887378785978248,7.0
10,25,28.02104720844576,7.0
15,25,53.78261492748543,15.0
20,25,25.895292904590676,18.0
1,26,17.45058770388942,6.0
5,26,11.423892645440377,8.0
10,26,10.346581910276372,8.0
15,26,27.042115291619776,14.0
20,26,41.6487838557015,19.0
1,27,32.09932610311272,3.001
5,27,7.2426889536387895,6.0
10,27,13.17338213569388,9.0
15,27,13.139918100619514,14.0
20,27,17.53253505388403,17.0
1,28,9.979390240184033,4.0
5,28,12.65653787727733,6.0
10,28,18.50806560371656,9.998
15,28,13.664885739737537,16.0
20,28,14.340449819296062,17.0
1,29,13.994492190259708,3.999
5,29,13.071833945442528,6.0
10,29,8.950704026059514,9.0
15,29,9.740708866991698,12.996
20,29,14.549132331716786,19.0
1,30,12.091044036377513,5.0
5,30,10.29695240496707,9.002
10,30,19.206920092774613,11.0
15,30,18.776744883794507,14.0
20,30,17.10658504383637,16.0
1,31,12.494808034264222,2.0
5,31,14.75367759122748,7.0
10,31,31.934896053115732,11.0
15,31,27.972586660696358,15.0
20,31,15.734754285846117,18.0
1,32,15.746951522045508,3.0
5,32,17.640603135152716,7.001
10,32,26.84718808300172,10.0
15,32,26.775941010393403,15.001
20,32,8.62949909271232,19.997
1,33,10.7334126196187,3.001
5,33,13.407763896076672,7.0
10,33,21.222258996426863,11.0
15,33,15.83303978451662,13.0
20,33,15.674656232950547,18.999
1,34,22.823660540143774,7.0
5,34,11.592606118718653,6.992
10,34,33.51694866332432,12.0
15,34,15.810954455673459,14.0
20,34,21.317433479498135,18.0
1,35,22.051901571172728,4.0
5,35,13.919353620095162,4.0
10,35,21.55361496977686,10.0
15,35,11.472278478664443,14.002
20,35,19.716987263955897,19.0
1,36,27.64924289360355,7.002
5,36,9.618681632815477,5.001
10,36,22.186073216356252,11.0
15,36,29.282935818687147,15.0
20,36,22.801332121447132,18.0
1,37,13.994492190259708,4.0
5,37,11.513570694033323,4.0
10,37,15.227146545842055,13.0
15,37,14.915599948724926,14.0
20,37,18.984437583617247,20.0
1,38,32.09932610311272,3.0
5,38,19.246994527862583,5.0
15,38,33.613866712016836,15.0
20,38,15.674656232950547,19.0
1,39,17.906574903869263,4.0
5,39,22.15856829251385,6.0
10,39,22.210627323911527,10.0
15,39,17.227929056012773,16.999
20,39,22.25452209537368,15.999
1,40,12.494808034264222,2.001
5,40,23.087748547179338,6.0
10,40,34.12955072737021,11.0
15,40,21.833815022686096,13.0
20,40,31.138439923091536,20.0
1,41,9.527795013812215,3.0
5,41,12.724351678500112,5.0
10,41,18.439899305773316,11.0
15,41,20.560457079394855,14.0
20,41,16.524807711641056,17.0
1,42,19.33574641207289,6.0
5,42,13.230295036610823,5.0
10,42,13.309039470621139,11.0
15,42,15.1991956894259,12.0
20,42,53.02933082348239,16.0
1,43,15.746951522045508,3.0
5,43,19.342992652652036,7.0
10,43,13.086752189836389,10.0
15,43,20.17465261269534,14.0
