Loci,Replicate,Final_fitness,Final_genome_size
25,1,4.228516141930092,25.0
50,1,8.873937000560094,50.0
75,1,12.916755632405819,75.0
100,1,30.317759939813822,100.0
25,2,3.8080207776244586,25.0
50,2,11.420470191853004,50.0
75,2,15.030078663023327,75.0
100,2,29.671439140415195,100.0
25,3,2.350477738733081,25.0
50,3,5.325724296471932,50.0
75,3,11.738396115677931,75.0
100,3,22.996240097892034,100.0
1,4,1.048296559847333,1.0
25,4,4.097770330756472,25.0
50,4,7.086598500269207,50.0
75,4,12.608035611245922,75.0
100,4,40.251361990181,100.0
1,5,0.9513623875449918,1.0
25,5,2.374387665528172,25.0
50,5,7.0173521515558805,50.0
75,5,17.34706301855598,75.0
100,5,26.44177417894829,100.0
25,6,2.1201635785306556,25.0
50,6,5.723431755087952,50.0
75,6,21.068812906407796,75.0
100,6,33.35370402933086,100.0
1,7,1.0253680753511334,1.0
25,7,2.385142922067502,25.0
50,7,5.361217064265957,50.0
75,7,18.025067815047663,75.0
100,7,21.394416437200068,100.0
1,8,1.1188183079532577,1.0
25,8,2.00187588959396,25.0
50,8,4.040805139190002,50.0
75,8,10.923702848772043,75.0
100,8,26.95440156866323,100.0
1,9,1.0523452482379723,1.0
25,9,2.2815900166219025,25.0
50,9,4.717818694397564,50.0
75,9,6.82072261766384,75.0
100,9,38.51011016411779,100.0
1,10,1.0712437410267925,1.0
25,10,2.536953949834818,25.0
50,10,8.405006990033842,50.0
75,10,19.804742077849525,75.0
100,10,24.72166661736509,100.0
25,11,2.422005624275992,25.0
50,11,8.372132756138589,50.0
75,11,16.8788833594324,75.0
100,11,25.959307411498784,100.0
1,12,1.0523452482379723,1.0
25,12,2.896379069355151,25.0
50,12,9.577314098168316,50.0
75,12,21.468030219979344,75.0
100,12,27.789433741390784,100.0
25,13,2.7225070073645594,25.0
50,13,6.76980193633719,50.0
75,13,21.822019373095696,75.0
100,13,31.736188677570404,100.0
1,14,1.095546846474969,1.0
25,14,3.1630001612910217,25.0
50,14,3.6883787134518764,50.0
75,14,12.066996762339215,75.0
100,14,39.42138443099122,100.0
1,15,1.0523452482379723,1.0
25,15,3.4473140542630487,25.0
50,15,4.924824901775152,50.0
75,15,14.849367349472162,75.0
100,15,35.30578463826872,100.0
1,16,1.5117403531601716,1.0
25,16,2.8169845021002597,25.0
50,16,10.338399867160264,50.0
75,16,17.570719852545555,75.0
100,16,39.50311055081887,100.0
1,17,1.0659819924717053,1.0
25,17,1.9991122885006338,25.0
50,17,6.9014133440366265,50.0
75,17,14.645921671718344,75.0
100,17,24.852647972644217,100.0
25,18,4.125569803061775,25.0
50,18,6.931692085464318,50.0
75,18,19.3176527065726,75.0
100,18,22.081999721988048,100.0
1,19,0.9513623875449918,1.0
25,19,2.089383588489273,25.0
50,19,3.321813569707091,50.0
75,19,11.440129250904484,75.0
100,19,32.78092800748655,100.0
25,20,3.229324359022166,25.0
50,20,6.563328267647112,50.0
75,20,12.053285971455038,75.0
100,20,32.10407581085359,100.0
25,21,2.28102443220185,25.0
50,21,9.27060056306084,50.0
75,21,16.306188989662132,75.0
100,21,30.02312956104755,100.0
25,22,2.5442085723968675,25.0
50,22,6.248641107624969,50.0
75,22,10.29637315047826,75.0
100,22,40.79274177166506,100.0
1,23,1.0246368215651607,1.0
25,23,2.2525946205977756,25.0
50,23,4.928211681105218,50.0
75,23,11.420655316523828,75.0
100,23,35.02294151722451,100.0
1,24,1.0253680753511334,1.0
25,24,2.9250609296365044,25.0
50,24,8.018401195793478,50.0
75,24,16.52618319325399,75.0
100,24,31.128752608229824,100.0
25,25,3.287688614461359,25.0
50,25,6.9060881850575875,50.0
75,25,10.5343087056293,75.0
100,25,41.93308085123521,100.0
1,26,1.1189488169646487,1.0
25,26,2.038365270154736,25.0
50,26,3.77786780736656,50.0
75,26,12.996197327042195,75.0
100,26,34.3395026639878,100.0
1,27,1.1296815323938214,1.0
25,27,2.8155705475015935,25.0
50,27,8.142752939200689,50.0
75,27,11.439153060707678,75.0
100,27,23.216588772666547,100.0
1,28,1.1920424146301805,1.0
25,28,1.44328531993152,25.0
50,28,3.546431289192775,50.0
75,28,11.450930413961629,75.0
100,28,27.489679265704524,100.0
25,29,3.904655356330293,25.0
50,29,11.496271399418498,50.0
75,29,20.6365607873211,75.0
100,29,25.234901981878657,100.0
1,30,1.19111826808617,1.0
25,30,2.673209254364634,25.0
