Loci,Replicate,Final_fitness,Final_genome_size
5,1,1.3898004388319007,5.0
6,1,1.8014712083664708,6.0
7,1,2.0841570663807083,5.0
8,1,1.5058106633493598,8.0
9,1,1.7559763760978186,11.0
10,1,1.684940081249784,9.0
5,2,1.8788680276127216,8.0
6,2,1.7087153414364307,7.0
7,2,1.898385241881737,8.0
8,2,1.744231324310099,7.998
9,2,1.7321455833131658,7.002
10,2,1.5914492760691408,10.999
5,3,1.2213330472176858,5.0
6,3,1.2337366501648521,6.0
7,3,1.1654121761169973,7.0
8,3,1.243801582777886,9.017
9,3,1.3788048588526198,9.0
10,3,1.3251391289860268,11.0
5,4,1.3769000224466819,4.003
6,4,1.5516405406005163,7.0
7,4,1.3323362712790554,8.0
8,4,1.3607717415833922,8.0
9,4,1.395027018203754,10.0
10,4,1.6675290380684595,10.0
5,5,1.309667103069218,6.0
6,5,1.309667103069218,6.0
7,5,1.309667103069218,6.0
8,5,1.5159080491733659,8.0
9,5,1.5030508839759347,9.0
10,5,1.6309873986096015,10.0
5,6,1.2761389224210649,6.0
6,6,1.2374103089789426,7.0
7,6,1.3812454689392697,8.0
8,6,1.3527730313360038,9.0
9,6,1.3684622024683508,7.0
10,6,1.632817949483273,9.0
5,7,1.3187018556732122,4.0
6,7,1.2293008085737738,6.0
7,7,1.3820887947770226,8.0
8,7,1.323645208348836,9.0
9,7,1.356106937136624,8.0
10,7,1.2536951671936356,11.0
5,8,1.5057546905546515,4.0
6,8,1.4453731712513782,5.0
7,8,1.780896592410025,7.013
8,8,1.4974793727018847,8.0
9,8,1.6922700251870573,9.0
10,8,2.0677479442980022,10.0
5,9,1.35194943535888,5.002
6,9,1.2967118992414528,8.0
7,9,1.2050258676697536,8.0
8,9,1.3227513856806603,8.0
9,9,1.3227513856806603,7.999
10,9,1.2890944684671646,10.0
5,10,1.2263254748715497,5.003
6,10,1.6856147037765608,4.999
7,10,1.4445105149166086,7.0
8,10,1.7439443808310777,10.009
9,10,1.676464802229519,9.002
10,10,1.6079262332253073,6.998
5,11,1.2221554573573445,4.0
6,11,1.2611813365327063,6.0
7,11,1.1499665459884236,7.002
8,11,1.4896842827673178,8.999
9,11,1.4359046546130732,11.0
10,11,1.5901618707033545,12.0
5,12,1.3378551886367946,8.016
6,12,1.9174691555513947,10.0
7,12,1.5050460034866575,9.0
8,12,1.5846155021214812,9.0
9,12,1.6895653074300492,10.0
10,12,1.8678711007934259,10.0
5,13,1.592685958686144,4.0
6,13,1.5968413422920753,8.0
7,13,1.465037594721686,9.0
8,13,1.690008949859475,10.0
9,13,1.58422316357985,9.0
10,13,1.6924399829532206,8.0
5,14,1.4287418523085251,7.0
6,14,1.3481795006187351,5.0
7,14,1.44528964389545,6.0
8,14,1.3374305530381088,7.0
9,14,1.2744880759343713,9.0
10,14,1.4641466615390974,10.0
5,15,1.6185534134880322,5.0
6,15,1.8537710694690135,7.0
7,15,1.6522639828419283,8.0
8,15,1.6573983402440673,7.0
9,15,1.4867595982927064,8.0
10,15,1.5723335231658295,10.0
5,16,1.9471793315863393,6.0
6,16,1.9180653409085198,8.0
7,16,1.8069619563563735,8.0
8,16,1.7819869340630852,9.0
9,16,1.7613495987084138,9.0
10,16,1.9480564247804504,9.0
5,17,1.505490685788456,5.0
6,17,1.4666299272653243,8.0
7,17,1.4522173178509152,9.0
8,17,1.517680849481361,9.0
9,17,1.4844573530730625,8.995
10,17,1.427230563150002,11.0
5,18,1.4657662945259762,6.998
6,18,1.4276560785667518,6.004
7,18,1.817617213947878,7.0
8,18,1.4276560785667518,6.0
9,18,1.628751618622722,12.0
10,18,1.5724889156269453,11.0
5,19,1.6725164996143043,6.0
6,19,1.212096778850124,6.0
7,19,1.4593004006928774,6.0
8,19,1.5285435654117083,11.0
9,19,1.4496996610323436,8.0
10,19,1.3548306233639067,10.0
5,20,1.2290951982035792,5.0
6,20,1.372540930930711,8.0
7,20,1.3509278583763984,8.0
8,20,1.6385766864090987,10.0
9,20,1.1856884168075996,10.0
10,20,1.3158343622098292,12.0
5,21,1.4747333723115519,7.004
6,21,1.3907593818010922,7.002
7,21,1.3907593818010922,7.001
8,21,1.4082618045828028,9.003
9,21,1.4534150070726053,9.006
10,21,1.388742069305574,9.997
5,22,1.408886270468655,6.0
6,22,1.3789286107224514,5.0
7,22,1.8319504478074213,9.0
8,22,1.4737478519181821,6.0
9,22,1.6154390018688165,8.998
10,22,1.5380537302693422,10.0
5,23,1.7635304331279595,7.002
6,23,1.5439957779512459,6.001
7,23,1.5954831073285003,8.0
8,23,1.5576234901415964,9.0
9,23,1.5071688005304753,9.997
10,23,1.494471192550684,12.002
5,24,1.2305533758849576,6.0
6,24,1.312887411950945,9.0
7,24,1.211198318009088,6.0
8,24,1.3993813200433536,9.0
9,24,1.3503703514421574,10.0
10,24,1.1356033399046497,9.0
5,25,1.6358588222068986,6.999
6,25,1.3705574781571779,4.0
7,25,1.4668118776034935,8.998
8,25,1.5110122377575939,6.0
9,25,1.3523441689497193,8.998
10,25,2.0140799835910737,13.998
5,26,1.5105433923725664,4.001
6,26,1.6465770525250354,8.001
7,26,1.566196220058322,7.0
8,26,1.6676815911738256,8.994
9,26,1.8310969086099547,8.997
10,26,1.7383457778865086,8.01
5,27,1.3947794852712772,5.002
6,27,1.2189614844615437,6.006
7,27,1.3893515252687216,7.0
8,27,1.6122187227027265,7.047
9,27,1.7395043895358815,10.0
10,27,1.5650019232125063,9.0
5,28,1.4230978603129207,7.0
