Step,Fitness,CurrentGenomeSize,FinalGenomeSize,StartingLoci,Replicate
0,0.938809614332695,5.0,5.0,5,1
43,1.1229846950018993,5.0,5.0,5,1
70,1.2420023282252246,5.0,5.0,5,1
0,0.8162215609749588,5.0,6.0,5,2
18,1.1118503485350533,5.0,6.0,5,2
209,1.2256692908187314,6.0,6.0,5,2
4832,1.2765909035672238,6.0,6.0,5,2
0,0.8506328943241591,5.0,5.0,5,3
16,1.3068613951756038,5.0,5.0,5,3
0,0.9432410633417161,5.0,6.003,5,4
62,1.1028131733604791,5.0,6.003,5,4
211,1.1254959822517554,6.0,6.003,5,4
305,1.1866927476824485,7.0,6.003,5,4
458,1.208908262423135,7.0,6.003,5,4
462,1.1866927476824485,7.0,6.003,5,4
463,1.208908262423135,7.0,6.003,5,4
470,1.1866927476824485,7.0,6.003,5,4
471,1.208908262423135,7.0,6.003,5,4
1365,1.329585742054715,6.0,6.003,5,4
0,1.0391255569893303,5.0,6.0,5,5
89,1.166760493522689,6.0,6.0,5,5
141,1.194468636490405,5.0,6.0,5,5
146,1.166760493522689,6.0,6.0,5,5
150,1.194468636490405,5.0,6.0,5,5
6558,1.2248618427918911,6.0,6.0,5,5
0,0.7490211699763198,5.0,4.0,5,6
16,1.049856794304351,5.0,4.0,5,6
71,1.1846302913992752,5.0,4.0,5,6
403,1.2435544647275303,4.0,4.0,5,6
0,0.7838984177682858,5.0,4.0,5,7
25,1.0110045409422401,5.0,4.0,5,7
117,1.1735723125838324,5.0,4.0,5,7
545,1.284166522495548,6.0,4.0,5,7
2430,1.3091925182936177,5.0,4.0,5,7
2431,1.284166522495548,6.0,4.0,5,7
2432,1.3091925182936177,5.0,4.0,5,7
9669,1.3129492731946046,4.0,4.0,5,7
9802,1.3091925182936177,5.0,4.0,5,7
9804,1.3129492731946046,4.0,4.0,5,7
9835,1.3091925182936177,5.0,4.0,5,7
9837,1.3129492731946046,4.0,4.0,5,7
0,1.00814689133586,5.0,6.0,5,8
94,1.0873720004153644,5.0,6.0,5,8
145,1.1134036032896308,5.0,6.0,5,8
237,1.1957967400510912,6.0,6.0,5,8
239,1.1134036032896308,5.0,6.0,5,8
240,1.1957967400510912,6.0,6.0,5,8
1202,1.2259542357534807,5.0,6.0,5,8
1203,1.1957967400510912,6.0,6.0,5,8
1204,1.2259542357534807,5.0,6.0,5,8
3098,1.235524118909979,6.0,6.0,5,8
28806,1.2948708190431897,6.0,6.0,5,8
0,0.9251714247393001,5.0,6.003,5,9
50,1.0851743285718436,5.0,6.003,5,9
78,1.1338748147626323,6.0,6.003,5,9
92,1.3419592962553755,6.0,6.003,5,9
0,0.837873970415744,5.0,4.998,5,10
28,1.010329872787712,5.0,4.998,5,10
30,1.0171404732564508,5.0,4.998,5,10
64,1.1361385732236746,4.0,4.998,5,10
73,1.1877399904263128,5.0,4.998,5,10
0,0.8666062307040279,5.0,4.0,5,11
21,1.2680626245972904,5.0,4.0,5,11
6408,1.2809348347485208,5.0,4.0,5,11
16241,1.2914207806366342,4.0,4.0,5,11
16242,1.2809348347485208,5.0,4.0,5,11
16247,1.2914207806366342,4.0,4.0,5,11
16248,1.2809348347485208,5.0,4.0,5,11
16250,1.2914207806366342,4.0,4.0,5,11
16257,1.2809348347485208,5.0,4.0,5,11
16261,1.2914207806366342,4.0,4.0,5,11
16297,1.3310559305311178,4.0,4.0,5,11
0,1.0676380142086201,5.0,5.0,5,12
384,1.0954062280299073,5.0,5.0,5,12
388,1.0676380142086201,5.0,5.0,5,12
389,1.0954062280299073,5.0,5.0,5,12
457,1.13009817190384,4.0,5.0,5,12
474,1.1384888116299077,4.0,5.0,5,12
494,1.1448268558919399,5.0,5.0,5,12
497,1.1384888116299077,4.0,5.0,5,12
503,1.13009817190384,4.0,5.0,5,12
505,1.1448268558919399,5.0,5.0,5,12
508,1.1384888116299077,4.0,5.0,5,12
511,1.13009817190384,4.0,5.0,5,12
521,1.1448268558919399,5.0,5.0,5,12
578,1.1384888116299077,4.0,5.0,5,12
582,1.1448268558919399,5.0,5.0,5,12
600,1.1384888116299077,4.0,5.0,5,12
607,1.1448268558919399,5.0,5.0,5,12
2061,1.195794113079963,6.0,5.0,5,12
2062,1.1448268558919399,5.0,5.0,5,12
2063,1.195794113079963,6.0,5.0,5,12
22071,1.2233926989743236,5.0,5.0,5,12
31974,1.257679890718393,5.0,5.0,5,12
0,0.814607783851881,5.0,4.0,5,13
26,1.1686665793143325,5.0,4.0,5,13
6905,1.250556303609157,6.0,4.0,5,13
11483,1.2661153935344784,5.0,4.0,5,13
11484,1.250556303609157,6.0,4.0,5,13
11487,1.2661153935344784,5.0,4.0,5,13
11493,1.250556303609157,6.0,4.0,5,13
11512,1.2661153935344784,5.0,4.0,5,13
11514,1.250556303609157,6.0,4.0,5,13
11515,1.2661153935344784,5.0,4.0,5,13
32010,1.3625253920151381,4.0,4.0,5,13
0,0.9835139853914125,5.0,7.001,5,14
