Step,Fitness,CurrentGenomeSize,FinalGenomeSize,StartingLoci,Replicate
0,0.9393235399333317,5.0,6.001,5,1001
34,1.1379902375699495,6.0,6.001,5,1001
71,1.241204105422217,6.0,6.001,5,1001
0,1.02036333152578,5.0,5.0,5,1002
39,1.2687546140279098,5.0,5.0,5,1002
502,1.556022792443055,5.0,5.0,5,1002
0,1.0326328857635434,5.0,5.0,5,1003
68,1.1537593173287781,5.0,5.0,5,1003
2568,1.3001105503351031,4.0,5.0,5,1003
2954,1.3390546146934936,5.0,5.0,5,1003
0,0.9443853015512036,5.0,7.0,5,1004
69,1.0486366806550764,6.0,7.0,5,1004
264,1.3181491211486933,7.0,7.0,5,1004
0,1.071462420322339,5.0,6.0,5,1005
85,1.2555398347048774,5.0,6.0,5,1005
144,1.372811769279843,5.0,6.0,5,1005
2502,1.555416344072661,6.0,6.0,5,1005
0,1.0733572360796226,5.0,6.0,5,1006
68,1.2097838720937606,5.0,6.0,5,1006
249,1.2990894451368384,6.0,6.0,5,1006
0,1.0333370840834217,5.0,6.999,5,1007
93,1.243658093737604,6.0,6.999,5,1007
431,1.2962068480911935,7.0,6.999,5,1007
10190,1.3290792492113213,6.0,6.999,5,1007
10333,1.3886693501224996,7.0,6.999,5,1007
10347,1.384811926265689,6.0,6.999,5,1007
10410,1.4853654963599425,7.0,6.999,5,1007
10550,1.5940396361472544,7.0,6.999,5,1007
0,0.9872431049059559,5.0,7.0,5,1008
208,1.0743309256225655,6.0,7.0,5,1008
287,1.176049012844651,6.0,7.0,5,1008
34284,1.298167658262338,7.0,7.0,5,1008
0,1.007591654608106,5.0,5.0,5,1009
22,1.4198281343690013,5.0,5.0,5,1009
0,1.1070076372880424,5.0,5.0,5,1010
686,1.1901740428515286,6.0,5.0,5,1010
759,1.3746898518816875,5.0,5.0,5,1010
0,0.9437577906550494,5.0,7.0,5,1011
34,1.1429876980283,5.0,7.0,5,1011
125,1.231277893435493,6.0,7.0,5,1011
16023,1.2514935457643568,6.0,7.0,5,1011
16025,1.231277893435493,6.0,7.0,5,1011
16027,1.2514935457643568,6.0,7.0,5,1011
16046,1.231277893435493,6.0,7.0,5,1011
16048,1.2514935457643568,6.0,7.0,5,1011
16049,1.231277893435493,6.0,7.0,5,1011
16050,1.2514935457643568,6.0,7.0,5,1011
19427,1.3141809191936884,7.0,7.0,5,1011
0,1.022776771274975,5.0,9.0,5,1012
66,1.1849437249243682,4.0,9.0,5,1012
157,1.34015044959017,5.0,9.0,5,1012
432,1.4755482800811113,6.0,9.0,5,1012
746,1.5043686739255444,8.0,9.0,5,1012
747,1.4755482800811113,6.0,9.0,5,1012
748,1.5043686739255444,8.0,9.0,5,1012
1635,1.602596098979954,9.0,9.0,5,1012
0,1.0126171045435535,5.0,7.0,5,1013
154,1.0853111445505084,6.0,7.0,5,1013
1159,1.1256667548238197,7.0,7.0,5,1013
1289,1.1656137968766305,7.0,7.0,5,1013
1294,1.1256667548238197,7.0,7.0,5,1013
1298,1.1656137968766305,7.0,7.0,5,1013
1355,1.2166798480110166,7.0,7.0,5,1013
1410,1.3095277592950283,8.0,7.0,5,1013
1643,1.3409496872290667,7.0,7.0,5,1013
1644,1.3095277592950283,8.0,7.0,5,1013
1645,1.3409496872290667,7.0,7.0,5,1013
8130,1.4278449394439934,7.0,7.0,5,1013
0,1.1835556876799642,5.0,7.002,5,1014
5417,1.2629784926031784,5.0,7.002,5,1014
7267,1.2826308935255029,6.0,7.002,5,1014
23531,1.2987757653105643,7.0,7.002,5,1014
23534,1.2826308935255029,6.0,7.002,5,1014
23535,1.2987757653105643,7.0,7.002,5,1014
0,1.0865623072823605,5.0,6.0,5,1015
140,1.352668600197901,6.0,6.0,5,1015
165,1.5507412706887929,6.0,6.0,5,1015
0,1.0051793183787199,5.0,7.001,5,1016
67,1.1291532924114782,6.0,7.001,5,1016
189,1.260874014542264,5.0,7.001,5,1016
44463,1.3867628585919023,6.0,7.001,5,1016
45422,1.4060812087626953,7.0,7.001,5,1016
45423,1.3867628585919023,6.0,7.001,5,1016
45429,1.4060812087626953,7.0,7.001,5,1016
45431,1.3867628585919023,6.0,7.001,5,1016
